Assembly                   	illumina_only_contigs 	nano_hybrid_contigs 	pacbio_hybrid_contigs 	nanopore_only_assembly 	pacbio_only_assembly
# contigs (>= 0 bp)        	              5034    	            2910    	              3113    	                114    	              639
# contigs (>= 1000 bp)     	              2683    	            1241    	              1440    	                114    	              638
# contigs (>= 5000 bp)     	              1507    	             748    	               886    	                110    	              601
# contigs (>= 10000 bp)    	               908    	             547    	               669    	                107    	              473
# contigs (>= 25000 bp)    	               356    	             344    	               373    	                 94    	              228
# contigs (>= 50000 bp)    	               168    	             206    	               180    	                 79    	               85
Total length (>= 0 bp)     	          48713109    	        49494182    	          49247532    	           50304719    	         42544438
Total length (>= 1000 bp)  	          48024138    	        48990172    	          48748480    	           50304719    	         42543797
Total length (>= 5000 bp)  	          45039977    	        47811996    	          47392973    	           50292158    	         42402049
Total length (>= 10000 bp) 	          40698843    	        46367247    	          45795339    	           50271169    	         41439501
Total length (>= 25000 bp) 	          32064762    	        42916468    	          41033745    	           50053279    	         37375471
Total length (>= 50000 bp) 	          25741575    	        38003436    	          34263664    	           49541100    	         32499863
# contigs                  	              3078    	            1485    	              1667    	                114    	              639
Largest contig             	           1237485    	         3086017    	           2445666    	            5093999    	          4233810
Total length               	          48309156    	        49167765    	          48914452    	           50304719    	         42544438
GC (%)                     	                60.53 	              60.57 	                60.51 	                 60.37 	               57.99
N50                        	             66552    	          160252    	            164491    	            3211435    	           717392
N90                        	              6764    	           20204    	             15245    	             209268    	            21592
auN                        	            166910.9  	          524069.5  	            374447.1  	            2505949.4  	          1362344.0
L50                        	               141    	              55    	                60    	                  7    	               12
L90                        	              1244    	             404    	               526    	                 42    	              268
# N's per 100 kbp          	                 0.00 	               0.00 	                 0.00 	                  0.00 	                0.00
